Name,NACA 6415 Airfoil M=6.0% P=40.0% T=15.0%
Chord(mm),250
Radius(mm),0
Thickness(%),100
Origin(%),0
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
250.077250,0.386000
250.017750,0.409000
249.839000,0.477750
249.541250,0.592250
249.124750,0.751750
248.589750,0.956250
247.936750,1.204750
247.166000,1.496750
246.278500,1.831250
245.274750,2.207250
244.155500,2.623500
242.921500,3.078750
241.573750,3.572000
240.113500,4.101500
238.541750,4.665750
236.859750,5.263000
235.069000,5.891750
233.171000,6.550000
231.167000,7.235750
229.058750,7.947250
226.848250,8.682750
224.537000,9.439500
222.127250,10.216250
219.621000,11.010000
217.020500,11.819250
214.327750,12.641750
211.545000,13.474750
208.675250,14.316750
205.720500,15.164750
202.683750,16.017250
199.567750,16.871750
196.375000,17.725750
193.108750,18.577500
189.772000,19.424250
186.367500,20.264500
182.898750,21.095500
179.369000,21.915500
175.781750,22.722000
172.140000,23.513500
168.447500,24.287500
164.708000,25.042000
160.925000,25.775250
157.102000,26.485250
153.243000,27.170250
149.351750,27.828250
145.432500,28.457750
141.488750,29.056750
137.524500,29.623750
133.544250,30.157500
129.551750,30.656000
125.551250,31.118000
121.546750,31.542250
117.542750,31.927500
113.543250,32.272750
109.552750,32.576750
105.575250,32.838500
101.615250,33.057500
97.608000,33.228000
93.578000,33.330000
89.578000,33.361500
85.612500,33.323000
81.686750,33.214750
77.805500,33.037750
73.973750,32.793250
70.196250,32.482250
66.477750,32.106250
62.823250,31.667250
59.236750,31.167250
55.723250,30.608250
52.286500,29.992750
48.931500,29.323500
45.661500,28.603000
42.481250,27.834000
39.393750,27.020000
36.403250,26.164000
33.512750,25.269250
30.725500,24.339250
28.044750,23.377500
25.473250,22.387250
23.014000,21.372250
20.669000,20.336000
18.440750,19.282250
16.331250,18.214500
14.342500,17.136000
12.476500,16.050500
10.734250,14.961250
9.117500,13.871500
7.627250,12.784250
6.264250,11.702750
5.029750,10.629750
3.924250,9.568000
2.948250,8.519500
2.102000,7.487250
1.385750,6.472750
0.799750,5.478250
0.343500,4.505000
0.017250,3.554750
-0.179750,2.628250
-0.248000,1.726750
-0.187750,0.850500
0.000000,0.000000
0.311000,-0.813500
0.741250,-1.579000
1.289250,-2.296500
1.954250,-2.966250
2.734250,-3.588750
3.628500,-4.164500
4.635000,-4.693750
5.752250,-5.177250
6.978250,-5.615500
8.311500,-6.009500
9.750000,-6.359750
11.291500,-6.667250
12.934250,-6.933000
14.675750,-7.158000
16.514000,-7.343500
18.447000,-7.490750
20.471750,-7.600750
22.586750,-7.675000
24.789250,-7.715000
27.076750,-7.722000
29.447250,-7.698000
31.898250,-7.644250
34.427500,-7.562750
37.032250,-7.455250
39.710750,-7.323500
42.460000,-7.169750
45.278250,-6.995500
48.162750,-6.803250
51.111500,-6.594750
54.122250,-6.372500
57.192500,-6.138250
60.320250,-5.894750
63.502750,-5.644250
66.738500,-5.388500
70.024500,-5.130250
73.359000,-4.871750
76.739250,-4.615000
80.163500,-4.362750
83.629000,-4.117000
87.133250,-3.880000
90.674250,-3.654000
94.249500,-3.441250
97.856250,-3.243250
101.539250,-3.060750
105.316000,-2.878000
109.114000,-2.692750
112.929500,-2.506250
116.759500,-2.319750
120.600500,-2.134500
124.448750,-1.951250
128.301000,-1.771500
132.153500,-1.596000
136.002500,-1.426000
139.844750,-1.261750
143.676250,-1.104500
147.493500,-0.954750
151.292750,-0.812750
155.070500,-0.679500
158.823000,-0.555000
162.546250,-0.439750
166.236750,-0.334000
169.891000,-0.237750
173.505250,-0.151000
177.075750,-0.073750
180.598750,-0.006000
184.071000,0.052500
187.488500,0.102000
190.848000,0.142500
194.145750,0.174750
197.378500,0.199000
200.543000,0.215750
203.635500,0.225250
206.652750,0.228000
209.591750,0.224750
212.449000,0.215750
215.221750,0.201750
217.906750,0.183500
220.501000,0.161000
223.001750,0.135250
225.406000,0.106500
227.711250,0.075750
229.915000,0.043000
232.014500,0.009000
234.007500,-0.025750
235.891750,-0.060750
237.665000,-0.095750
239.325250,-0.130250
240.870250,-0.163500
242.298750,-0.195750
243.608750,-0.226250
244.798750,-0.254750
245.867250,-0.281000
246.813000,-0.304750
247.635000,-0.325750
248.332250,-0.343750
248.904000,-0.358750
249.349250,-0.370750
249.667750,-0.379250
249.859000,-0.384500
249.922750,-0.386000
,
Camber line,
X(mm),Y(mm)
-0.179750,2.628250
-0.248000,0.863375
-0.187750,0.425250
0.000000,1.736811
0.311000,1.798420
0.741250,1.887230
1.289250,2.006240
1.954250,2.155863
2.734250,2.334857
3.628500,2.542890
4.635000,2.778436
5.752250,3.040240
6.978250,3.326894
8.311500,3.636981
9.750000,3.969039
11.291500,4.321196
12.934250,4.691892
14.675750,5.079361
16.514000,5.481751
18.447000,5.897228
20.471750,6.320985
22.586750,6.754225
24.789250,7.194972
27.076750,7.641368
29.447250,8.091332
31.898250,8.543151
34.427500,8.994830
37.032250,9.444397
39.710750,9.890038
42.460000,10.329324
45.278250,10.757414
48.162750,11.175433
51.111500,11.581806
54.122250,11.974511
57.192500,12.351879
60.320250,12.711776
63.502750,13.052313
66.738500,13.372058
70.024500,13.667317
73.359000,13.935444
76.739250,14.177357
80.163500,14.391267
83.629000,14.575653
87.133250,14.728882
90.674250,14.849434
94.249500,14.935877
97.856250,14.987094
101.539250,14.999992
105.316000,14.987419
109.114000,14.956437
112.929500,14.906628
116.759500,14.837681
120.600500,14.749397
124.448750,14.641776
128.301000,14.514472
132.153500,14.367574
136.002500,14.200925
139.844750,14.015069
143.676250,13.810000
147.493500,13.585984
151.292750,13.343641
155.070500,13.083178
158.823000,12.805315
162.546250,12.510628
166.236750,12.199776
169.891000,11.873586
173.505250,11.532888
177.075750,11.178664
180.598750,10.811908
184.071000,10.433583
187.488500,10.044915
190.848000,9.646849
194.145750,9.240914
197.378500,8.828166
200.543000,8.410029
203.635500,7.987659
206.652750,7.562599
209.591750,7.136297
212.449000,6.709946
215.221750,6.285214
217.906750,5.863479
220.501000,5.446148
223.001750,5.034808
225.406000,4.630736
227.711250,4.235677
229.915000,3.850640
232.014500,3.477372
234.007500,3.117071
235.891750,2.771062
237.665000,2.440660
239.325250,2.127114
240.870250,1.831798
242.298750,1.555457
243.608750,1.299479
244.798750,1.064762
245.867250,0.852151
246.813000,0.662523
247.635000,0.496659
248.332250,0.355246
248.904000,0.238690
249.349250,0.147514
249.667750,0.082177
249.859000,0.042779
249.922750,0.029769
,
Chord line,
X(mm),Y(mm)
0.000000,0.000000
250.000000,0.000000
